dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
ElectricDevices,0.686110750875373,0.0023294232259699,0.706523148748541,522.680925893784,0.933041429519653,0.0038795010570346,0.0133405583020742,Ireland,leinster
EOGHorizontalSignal,0.573480662983426,0.0252335629760646,0.607734806629834,244.369174814224,0.832031917572021,0.0019087031270643,0.0065635155071762,Ireland,leinster
EOGVerticalSignal,0.401104972375691,0.0254023512322047,0.43646408839779,242.690802001953,0.576125192642212,0.0018946235949398,0.0065150997917501,Ireland,leinster
EthanolLevel,0.7348,0.0193328735577513,0.744,447.148876190186,0.918988132476807,0.0035000056722103,0.0120355759777526,Ireland,leinster
FaceAll,0.820710059171598,0.0161702021797831,0.818343195266272,98.0806653499603,0.86133246421814,0.0006149785972898,0.0021147456105976,Ireland,leinster
FaceFour,0.95,0.005567022142689,0.954545454545455,120.560586881638,0.700526475906372,0.0050055444270116,0.0172127178934739,Ireland,leinster
FacesUCR,0.955609756097561,0.0025812207912825,0.964878048780488,71.8314918518067,0.743670797348022,0.0004400453360097,0.0015131972834365,Ireland,leinster
FiftyWords,0.753406593406593,0.0093658354956758,0.795604395604396,105.957838106155,0.831751680374146,0.000752459973507,0.0025875070012796,Ireland,leinster
Fish,0.981714285714286,0.0055988336977901,0.982857142857143,91.6248275279999,0.817665576934815,0.0006061571233626,0.0020844109398486,Ireland,leinster
FordA,0.953333333333333,0.0029768004097558,0.959090909090909,751.57636795044,0.755253601074219,0.0058707207144679,0.0201878259124429,Ireland,leinster
FordB,0.843703703703704,0.0065606569163389,0.858024691358025,751.965961122513,0.718269300460815,0.0058845768934223,0.0202354735765284,Ireland,leinster
FreezerRegularTrain,0.997754385964912,0.0004759529812719,0.997543859649123,73.9375671386719,0.871659851074219,0.0004793727373028,0.0016484336146312,Ireland,leinster
FreezerSmallTrain,0.943157894736842,0.0207047277079746,0.948421052631579,119.515965414047,0.670160007476807,0.0007609875793509,0.0026168311389107,Ireland,leinster
Fungi,0.997849462365591,0.0043010752688172,1,117.414704561234,0.846469926834107,0.000741607048674,0.0025501867185024,Ireland,leinster
GestureMidAirD1,0.756923076923077,0.0134119967493559,0.792307692307692,92.671514415741,0.825130081176758,0.0005882083246462,0.0020226898596868,Ireland,leinster
GestureMidAirD2,0.661538461538462,0.0188422287906398,0.669230769230769,91.8219822883606,0.562161874771118,0.0005824319442463,0.0020028264446841,Ireland,leinster
