dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
UWaveGestureLibraryX,0.823059743160246,0.0022291976301146,0.837800111669458,126.492877006531,0.965027523040771,0.0008238255306921,0.0028329139137641,Ireland,leinster
UWaveGestureLibraryY,0.733780011166946,0.0033621595125236,0.773590173087661,128.882373428345,0.735025978088379,0.0008333143898864,0.0028655435425336,Ireland,leinster
UWaveGestureLibraryZ,0.772082635399218,0.0061509500185015,0.801228364042434,122.535077047348,0.718390989303589,0.0008032509166452,0.002762163362546,Ireland,leinster
Wafer,0.999253731343284,0.0003179091165195,0.99935107073329,89.2370037555695,1.05335736274719,0.000550328496695,0.001892431342979,Ireland,leinster
Wine,0.744444444444445,0.0215961181290566,0.703703703703704,44.3423980236054,0.8264564037323,0.0001883308821282,0.0006476191335371,Ireland,leinster
WordSynonyms,0.679937304075235,0.0135704456563719,0.717868338557994,52.8534497737885,0.889315032958984,0.0002972578165485,0.001022189496565,Ireland,leinster
Worms,0.805194805194805,0.0232318750909069,0.792207792207792,81.3382737159729,0.838350868225098,0.0005492858343286,0.0018888459081813,Ireland,leinster
WormsTwoClass,0.841558441558442,0.019086933060648,0.844155844155844,78.897912311554,0.668991088867188,0.0005376730881168,0.0018489128045145,Ireland,leinster
Yoga,0.9216,0.0067934609081904,0.938333333333333,66.2807673931122,0.936776685714722,0.000420986127391215,0.00144765780296492,Ireland,leinster
AVERAGE,0.833662173979778,0.0124607229255948,0.844797499119802,156.864933922514,0.785965732857585,0.00096103762753367,0.00330474932526504,,
