dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
ProximalPhalanxTW,0.7746341463414634,0.0167282226336412,0.775609756097561,79.451673412323,0.6091941833496094,0.0003478345887566,0.0011961093817391,Ireland,leinster
RefrigerationDevices,0.4922666666666666,0.0212397949351892,0.4906666666666666,168.81430916786195,0.9742579936981202,0.0010512647034891,0.0036150159161264,Ireland,leinster
Rock,0.836,0.0195959179422654,0.82,240.9882140636444,1.0333645820617676,0.0013890981176815,0.0047767339546485,Ireland,leinster
ScreenType,0.5717333333333333,0.0140702996888244,0.5813333333333334,170.90293836593628,0.6690272808074951,0.0010597047935918,0.0036440391107162,Ireland,leinster
SemgHandGenderCh2,0.8346666666666668,0.0160346846277409,0.8566666666666667,246.44339141845705,1.0261467456817628,0.0016327338092703,0.0056145314188903,Ireland,leinster
SemgHandMovementCh2,0.471111111111111,0.0390757415828146,0.5244444444444445,343.5825155258179,0.8269679069519043,0.0023215032330498,0.0079830237893087,Ireland,leinster
SemgHandSubjectCh2,0.7493333333333334,0.0120410819414613,0.76,341.0019137382507,0.9561410903930664,0.0023147439024526,0.0079597802735604,Ireland,leinster
ShakeGestureWiimoteZ,0.8880000000000001,0.0097979589711327,0.9,121.30899739265442,0.7945409297943116,0.0005332097952201,0.001833564743454,Ireland,leinster
ShapeletSim,0.7611111111111111,0.0714056400580428,0.8111111111111111,120.09660382270812,0.7100267887115479,0.0005195244467345,0.0017865045192985,Ireland,leinster
ShapesAll,0.8959999999999999,0.0071956777149743,0.9183333333333332,180.45794668197632,0.7397411346435547,0.0010917616322365,0.0037542739369563,Ireland,leinster
SmallKitchenAppliances,0.7509333333333332,0.014370339824328,0.7653333333333333,172.70949144363402,0.8244944095611573,0.0010662848539507,0.0036666661644426,Ireland,leinster
SmoothSubspace,0.984,0.0053333333333333,0.9866666666666668,63.5207953453064,0.6701705455780029,0.0002667334122178,0.0009172242988183,Ireland,leinster
SonyAIBORobotSurface1,0.8499168053244592,0.0191571886384349,0.8535773710482529,118.58827805519104,0.8133546829223632,0.0004994854945907,0.0017175959649621,Ireland,leinster
SonyAIBORobotSurface2,0.929485834207765,0.0036590966997193,0.9307450157397692,119.30496978759766,0.8174080371856689,0.0005058007435931,0.0017393124038211,Ireland,leinster
StarLightCurves,0.9750121418164156,0.0013063601414582,0.9766877124817872,462.5709056854248,1.2757135391235352,0.0032684156275488,0.0112392002460374,Ireland,leinster
Strawberry,0.9762162162162162,0.002648097019225,0.981081081081081,102.21888308525084,0.8328025817871094,0.0005991282483095,0.0020602405333798,Ireland,leinster
SwedishLeaf,0.95424,0.0078774615200583,0.9632,87.4457293510437,0.8295875072479248,0.0003903751301605,0.0013423948355792,Ireland,leinster
Symbols,0.9794974874371858,0.0030878977880878,0.9768844221105528,121.00927205085756,0.8287092685699463,0.0005119815412005,0.001760566500578,Ireland,leinster
SyntheticControl,0.9986666666666666,0.0016329931618554,0.9966666666666668,69.70336170196533,0.8017157077789306,0.0002952973142937,0.0010154478578215,Ireland,leinster
ToeSegmentation1,0.9701754385964912,0.0075458993570549,0.9780701754385964,121.08375926017762,0.8025588989257812,0.0005101954960954,0.0017544247729422,Ireland,leinster
ToeSegmentation2,0.9430769230769231,0.0115127919593044,0.946153846153846,121.85585346221924,0.7878904819488526,0.0005163529729412,0.0017755986758867,Ireland,leinster
Trace,1.0,0.0,1.0,70.01189389228821,0.8021209239959717,0.000305573252917,0.0010507840405668,Ireland,leinster
TwoLeadECG,0.9963125548726952,0.001290337002344,0.9956101843722563,118.67792196273804,0.8501920223236084,0.0005117818179004,0.00175987970599,Ireland,leinster
TwoPatterns,1.0,0.0,1.0,118.87314357757568,0.4893403053283691,0.0005752957226535,0.0019782869024039,Ireland,leinster
UMD,0.9625,0.0161970885967925,0.9652777777777778,118.84023876190186,0.8135549545288085,0.0005115328479042,0.0017590235652904,Ireland,leinster
UWaveGestureLibraryAll,0.8945281965382467,0.0030346573404134,0.917643774427694,342.41156339645386,1.065638494491577,0.0024393958904546,0.0083884248567069,Ireland,leinster
UWaveGestureLibraryX,0.8064209938581797,0.0067778853849217,0.8243997766610832,153.58743839263917,0.9628698825836182,0.0009428447192241,0.0032421888180193,Ireland,leinster
UWaveGestureLibraryY,0.7207705192629815,0.0055030500626839,0.7551647124511446,153.479838848114,0.7447405338287354,0.000939275003082,0.0032299135265281,Ireland,leinster
UWaveGestureLibraryZ,0.7541596873255165,0.0034536386586693,0.7752652149637074,153.56802582740784,0.7369434833526611,0.0009427356969591,0.0032418139198404,Ireland,leinster
Wafer,0.9992861778066192,0.0001654451496947,0.99935107073329,117.93253808021544,1.0792538166046142,0.0006657850480959,0.0022894552985537,Ireland,leinster
Wine,0.6888888888888889,0.090267093384844,0.7222222222222222,75.45623435974122,0.8230749607086182,0.0003267344738346,0.0011235517746761,Ireland,leinster
WordSynonyms,0.6780564263322884,0.0118791820197469,0.7241379310344828,91.898619222641,0.8593116283416748,0.0004199384089633,0.0014440549817346,Ireland,leinster
Worms,0.7922077922077922,0.0142265599351991,0.8051948051948052,113.59053330421447,0.8228092670440674,0.0007025336147715,0.0024158237126996,Ireland,leinster
WormsTwoClass,0.787012987012987,0.0103896103896103,0.7922077922077922,111.48792986869812,0.6158764839172364,0.0006882208711553,0.0023666060458222,Ireland,leinster
Yoga,0.9062666666666667,0.004697043987682308,0.9203333333333333,97.23676028251649,0.9592337608337402,0.0005604450727235801,0.0019272195207221802,Ireland,leinster
